order_id,user_id,sku,quantity,price,total_amount,order_date,status
O20251000000,U20251000818,SKU58504,4,597.19,2388.76,2025-07-21,refunded
O20251000001,U20251000016,SKU91267,5,132.11,660.55,2025-08-01,refunded
O20251000002,U20251000549,SKU92152,5,418.25,2091.25,2025-07-21,refunded
O20251000003,U20251000416,SKU84795,2,472.66,945.32,2025-09-15,refunded
O20251000004,U20251000620,SKU62136,5,166.91,834.55,2025-09-06,shipped
O20251000005,U20251000122,SKU25199,2,141.8,283.6,2025-07-28,refunded
O20251000006,U20251000922,SKU60317,4,361.83,1447.32,2025-07-18,shipped
O20251000007,U20251000783,SKU33034,4,410.44,1641.76,2025-07-28,shipped
O20251000008,U20251000328,SKU76793,4,153.61,614.44,2025-08-24,paid
O20251000009,U20251000414,SKU95458,5,533.03,2665.15,2025-08-22,refunded
O20251000010,U20251000630,SKU18793,1,512.13,512.13,2025-07-17,paid
O20251000011,U20251000631,SKU17200,3,195.64,586.92,2025-08-25,shipped
O20251000012,U20251000939,SKU20072,4,398.4,1593.6,2025-10-07,shipped
O20251000013,U20251000538,SKU91267,1,132.11,132.11,2025-08-10,refunded
O20251000014,U20251000744,SKU13334,4,175.94,703.76,2025-10-01,refunded
O20251000015,U20251000597,SKU21618,5,325.89,1629.45,2025-09-30,refunded
O20251000016,U20251000423,SKU18361,2,275.17,550.34,2025-08-30,refunded
O20251000017,U20251000368,SKU91484,3,329.83,989.49,2025-08-30,paid
O20251000018,U20251000909,SKU62613,2,210.3,420.6,2025-09-30,paid
O20251000019,U20251000614,SKU88133,3,535.95,1607.85,2025-08-15,refunded
O20251000020,U20251000009,SKU42106,2,87.46,174.92,2025-09-24,refunded
O20251000021,U20251000868,SKU50635,2,443.06,886.12,2025-09-20,paid
O20251000022,U20251000101,SKU99144,2,305.23,610.46,2025-08-15,refunded
O20251000023,U20251000073,SKU39511,4,378.21,1512.84,2025-07-18,shipped
O20251000024,U20251000588,SKU15606,1,229.41,229.41,2025-10-07,paid
O20251000025,U20251000278,SKU45257,3,202.83,608.49,2025-10-02,paid
O20251000026,U20251000449,SKU10454,2,341.39,682.78,2025-08-29,paid
O20251000027,U20251000968,SKU22790,4,262.25,1049.0,2025-07-22,paid
O20251000028,U20251000156,SKU20072,1,398.4,398.4,2025-08-18,paid
O20251000029,U20251000167,SKU89932,3,192.99,578.97,2025-08-11,paid
O20251000030,U20251000610,SKU92152,3,418.25,1254.75,2025-10-09,refunded
O20251000031,U20251000767,SKU57602,4,156.62,626.48,2025-08-21,shipped
O20251000032,U20251000656,SKU68364,2,284.7,569.4,2025-08-29,refunded
O20251000033,U20251000738,SKU27466,1,492.79,492.79,2025-10-12,shipped
O20251000034,U20251000213,SKU29290,5,534.41,2672.05,2025-07-18,paid
O20251000035,U20251000179,SKU65544,4,540.76,2163.04,2025-10-09,paid
O20251000036,U20251000536,SKU83210,3,432.11,1296.33,2025-09-23,refunded
O20251000037,U20251000383,SKU57375,5,274.93,1374.65,2025-10-06,refunded
O20251000038,U20251000078,SKU85149,2,424.71,849.42,2025-08-29,refunded
O20251000039,U20251000376,SKU19834,1,496.61,496.61,2025-09-30,paid
O20251000040,U20251000757,SKU51833,5,577.72,2888.6,2025-08-29,paid
O20251000041,U20251000398,SKU28489,5,147.84,739.2,2025-09-11,refunded
O20251000042,U20251000112,SKU61295,3,205.99,617.97,2025-10-04,shipped
O20251000043,U20251000186,SKU18850,5,557.8,2789.0,2025-09-28,paid
O20251000044,U20251000216,SKU26521,4,230.05,920.2,2025-09-18,shipped
O20251000045,U20251000071,SKU35323,1,344.66,344.66,2025-08-24,refunded
O20251000046,U20251000503,SKU24988,4,387.48,1549.92,2025-09-04,shipped
O20251000047,U20251000191,SKU55387,5,488.49,2442.45,2025-10-09,paid
O20251000048,U20251000569,SKU45790,3,400.32,1200.96,2025-10-02,paid
