user_id,nickname,platform,gender,region
U20251000000,欢,微信,female,湖北省
U20251000001,勇,微信,female,安徽省
U20251000002,军,抖音,female,重庆市
U20251000003,金凤,微信,male,吉林省
U20251000004,洁,抖音,male,陕西省
U20251000005,丹,微信,female,北京市
U20251000006,冬梅,微信,female,云南省
U20251000007,利,微信,male,内蒙古自治区
U20251000008,静,微信,male,宁夏回族自治区
U20251000009,想,淘宝,female,北京市
U20251000010,宇,微信,male,辽宁省
U20251000011,亮,微信,female,天津市
U20251000012,畅,抖音,female,甘肃省
U20251000013,雪,微信,female,福建省
U20251000014,桂兰,微信,male,浙江省
U20251000015,丹丹,抖音,male,海南省
U20251000016,晶,淘宝,female,河南省
U20251000017,玉华,抖音,male,广西壮族自治区
U20251000018,楠,抖音,female,贵州省
U20251000019,桂荣,淘宝,female,河北省
U20251000020,淑珍,淘宝,female,宁夏回族自治区
U20251000021,丹,淘宝,female,浙江省
U20251000022,琴,淘宝,male,浙江省
U20251000023,英,微信,female,安徽省
U20251000024,亮,抖音,female,江西省
U20251000025,想,淘宝,male,甘肃省
U20251000026,建平,淘宝,male,新疆维吾尔自治区
U20251000027,杰,微信,female,黑龙江省
U20251000028,刚,淘宝,female,安徽省
U20251000029,小红,抖音,male,吉林省
U20251000030,佳,微信,female,上海市
U20251000031,兰英,微信,female,上海市
U20251000032,瑜,淘宝,male,宁夏回族自治区
U20251000033,雪梅,微信,female,甘肃省
U20251000034,敏,淘宝,male,山东省
U20251000035,帆,淘宝,female,湖北省
U20251000036,艳,淘宝,male,新疆维吾尔自治区
U20251000037,华,淘宝,female,天津市
U20251000038,秀云,淘宝,female,内蒙古自治区
U20251000039,丹丹,微信,female,吉林省
U20251000040,桂芳,抖音,female,广东省
U20251000041,海燕,微信,male,湖南省
U20251000042,艳,微信,male,台湾省
U20251000043,玉华,抖音,female,辽宁省
U20251000044,桂花,微信,male,山东省
U20251000045,梅,抖音,female,浙江省
U20251000046,建华,微信,female,云南省
