iter	Passed	Remaining
0	1	2291
1	1	1483
2	2	1200
3	2	1055
4	3	974
5	3	931
6	4	893
7	4	872
8	5	849
9	5	824
10	5	807
11	6	792
12	6	777
13	7	777
14	7	779
15	8	775
16	8	780
17	9	776
18	9	776
19	10	774
20	10	768
21	11	762
22	11	754
23	12	754
24	12	757
25	13	766
26	14	770
27	14	764
28	14	757
29	15	751
30	15	747
31	16	743
32	16	739
33	17	734
34	17	731
35	17	730
36	18	727
37	18	724
38	19	720
39	19	720
40	20	719
41	20	719
42	21	721
43	21	720
44	22	719
45	22	717
46	23	713
47	23	710
48	23	709
49	24	707
50	24	704
51	25	702
52	25	699
53	26	697
54	26	695
55	26	693
56	27	692
57	27	690
58	28	690
59	28	691
60	29	688
61	29	687
62	30	687
63	30	687
64	31	686
65	31	684
66	31	683
67	32	682
68	32	679
69	33	678
70	33	678
71	34	677
72	34	676
73	35	676
74	35	677
75	36	678
76	36	677
77	37	676
78	37	678
79	38	677
80	38	677
81	39	676
82	39	674
83	40	674
84	40	672
85	40	671
86	41	669
87	41	667
88	42	667
89	42	666
90	42	665
91	43	664
92	43	664
93	44	662
94	44	663
95	45	662
96	45	662
97	46	660
98	46	659
99	47	658
100	47	657
101	47	656
102	48	654
103	48	653
104	49	652
105	49	651
106	49	649
107	50	649
108	50	648
109	51	647
110	51	646
111	52	646
112	52	645
113	53	645
114	53	644
115	53	644
116	54	642
117	54	643
118	55	642
119	55	642
120	56	641
121	56	640
122	57	639
123	57	638
124	57	637
125	58	637
126	58	636
127	59	635
128	59	634
129	60	633
130	60	632
131	61	633
132	61	632
133	61	631
134	62	630
135	62	630
136	63	629
137	63	628
138	64	627
139	64	626
140	64	625
141	65	625
142	65	624
143	66	623
144	66	622
145	67	621
146	67	621
147	68	621
148	68	622
149	69	622
150	69	622
151	70	621
152	70	620
153	71	621
154	71	621
155	72	620
156	72	619
157	72	618
158	73	617
159	73	617
160	74	616
161	74	615
162	75	615
163	75	614
164	75	613
165	76	612
166	76	612
167	77	612
168	77	611
169	78	611
170	78	610
171	79	610
172	79	609
173	79	608
174	80	607
175	80	607
176	81	606
177	81	605
178	81	605
179	82	604
180	82	603
181	83	603
182	83	602
183	84	601
184	84	601
185	85	600
186	85	600
187	85	600
188	86	599
189	86	599
190	87	598
191	87	597
192	88	596
193	88	596
194	88	595
195	89	594
196	89	594
197	90	593
198	90	592
199	91	592
200	91	591
201	91	591
202	92	590
203	92	589
204	93	589
205	93	589
206	94	588
207	94	587
208	95	586
209	95	586
210	95	585
211	96	584
212	96	583
213	97	583
214	97	583
215	97	582
216	98	581
217	98	581
218	99	580
219	99	579
220	100	579
221	100	578
222	100	578
223	101	578
224	101	577
225	102	577
226	102	577
227	103	576
228	103	576
229	104	575
230	104	575
231	105	574
232	105	574
233	106	573
234	106	573
235	106	572
236	107	571
237	107	570
238	108	570
239	108	569
240	108	568
241	109	568
242	109	568
243	110	568
244	111	568
245	111	568
246	112	568
247	112	567
248	112	567
249	113	566
250	113	565
251	114	565
252	114	564
253	114	563
254	115	563
255	115	562
256	116	562
257	116	562
258	117	561
259	117	562
260	118	562
261	119	562
262	119	562
263	119	561
264	120	560
265	120	560
266	121	560
267	121	559
268	122	558
269	122	557
270	122	557
271	123	556
272	123	555
273	124	555
274	124	554
275	124	554
276	125	553
277	125	553
278	126	552
279	126	552
280	127	551
281	127	551
282	128	550
283	128	549
284	128	549
285	129	548
286	129	547
287	130	547
288	130	546
289	130	545
290	131	545
291	131	544
292	132	544
293	132	543
294	132	543
295	133	542
296	133	542
297	134	541
298	134	541
299	135	540
300	135	540
301	136	540
302	136	539
303	136	538
304	137	538
305	137	537
306	138	537
307	138	536
308	139	535
309	139	535
310	139	534
311	140	534
312	140	533
313	141	532
314	141	533
315	142	532
316	142	531
317	142	531
318	143	530
319	143	530
320	144	529
321	144	529
322	145	528
323	145	528
324	145	527
325	146	527
326	146	526
327	147	526
328	147	525
329	148	524
330	148	524
331	148	523
332	149	523
333	149	523
334	150	523
335	150	522
336	151	521
337	151	521
338	152	521
339	152	520
340	153	520
341	153	519
342	154	519
343	154	519
344	154	518
345	155	518
346	155	517
347	156	516
348	156	516
349	157	515
350	157	515
351	157	515
352	158	514
353	158	514
354	160	516
355	160	515
356	160	515
357	161	514
358	161	513
359	162	513
360	162	512
361	163	512
362	163	511
363	163	511
364	164	510
365	164	510
366	165	509
367	165	509
368	166	508
369	166	508
370	166	508
371	167	508
372	167	507
373	168	506
374	168	506
375	169	505
376	169	505
377	170	504
378	170	504
379	170	503
380	171	503
381	171	502
382	172	502
383	172	501
384	172	500
385	173	500
386	174	500
387	174	500
388	175	500
389	175	500
390	176	499
391	176	499
392	177	499
393	177	499
394	178	499
395	179	499
396	179	498
397	180	498
398	180	497
399	180	497
400	181	496
401	181	496
402	182	495
403	182	495
404	183	495
405	183	495
406	184	495
407	184	494
408	185	494
409	185	493
410	186	493
411	186	493
412	187	492
413	187	492
414	188	491
415	188	491
416	188	490
417	189	490
418	189	489
419	190	489
420	190	489
421	191	488
422	191	488
423	192	487
424	192	487
425	193	486
426	193	486
427	193	485
428	194	485
429	194	484
430	195	483
431	195	483
432	195	482
433	196	482
434	196	481
435	197	481
436	197	480
437	198	480
438	198	479
439	198	479
440	199	478
441	199	478
442	200	477
443	200	477
444	201	476
445	201	476
446	201	475
447	202	475
448	202	474
449	203	474
450	203	473
451	204	473
452	204	472
453	204	472
454	205	471
455	205	471
456	206	470
457	206	470
458	207	469
459	207	469
460	208	469
461	208	468
462	209	468
463	209	467
464	209	467
465	210	466
466	210	466
467	211	465
468	211	465
469	212	464
470	212	464
471	213	464
472	213	463
473	213	463
474	214	462
475	214	462
476	215	461
477	215	461
478	216	461
479	216	460
480	217	460
481	217	459
482	218	459
483	218	458
484	219	458
485	219	457
486	219	457
487	220	456
488	220	456
489	221	455
490	221	455
491	221	454
492	222	454
493	223	454
494	223	453
495	223	453
496	224	452
497	224	452
498	225	451
